underlying,spot,atm_strike,expiry,ce_ltp,pe_ltp,ce_iv_pct,pe_iv_pct,straddle_iv,trend,timestamp
360ONE,1042.8,1040.0,2025-08-28,30.8,0.0,28.81,,,0,2025-08-08T15:57:58.409678
718GS2037,104.1,104.0,2025-08-28,0.0,0.0,,,,0,2025-08-08T15:57:58.409776
723GS2039,106.6,106.5,2025-08-28,0.0,0.0,,,,0,2025-08-08T15:57:58.409806
741GS2036,107.75,107.75,2025-08-28,0.0,0.0,,,,0,2025-08-08T15:57:58.409833
ABB,5022.0,5000.0,2025-08-28,145.0,116.0,27.09,29.33,28.21,0,2025-08-08T15:57:58.411691
ABCAPITAL,271.8,270.0,2025-08-28,8.6,6.7,28.81,32.19,30.5,1,2025-08-08T15:57:58.413078
ABFRL,74.19,74.0,2025-08-28,2.45,2.35,32.71,37.79,35.25,0,2025-08-08T15:57:58.414444
ADANIENSOL,790.15,800.0,2025-08-28,21.0,29.7,33.47,35.68,34.58,0,2025-08-08T15:57:58.415802
ADANIGREEN,914.05,920.0,2025-08-28,28.4,37.0,35.43,42.36,38.89,0,2025-08-08T15:57:58.417156
ADANIPORTS,1325.0,1320.0,2025-08-28,40.4,33.0,29.23,31.0,30.12,0,2025-08-08T15:57:58.418554
ALKEM,4764.0,4750.0,2025-08-28,172.45,84.8,35.98,22.76,29.37,0,2025-08-08T15:57:58.419902
AMBER,7354.5,7400.0,2025-08-28,233.3,285.0,35.98,40.66,38.32,0,2025-08-08T15:57:58.421250
AMBUJACEM,580.0,580.0,2025-08-28,14.8,11.85,25.92,24.12,25.02,0,2025-08-08T15:57:58.422606
ANGELONE,2552.6,2550.0,2025-08-28,91.9,93.25,36.83,42.28,39.56,0,2025-08-08T15:57:58.424064
APLAPOLLO,1582.6,1580.0,2025-08-28,38.3,34.45,23.55,26.45,25.0,0,2025-08-08T15:57:58.426836
APOLLOHOSP,7084.5,7100.0,2025-08-28,171.0,159.0,25.62,25.14,25.38,0,2025-08-08T15:57:58.428540
ASHOKLEY,115.42,115.0,2025-08-28,3.9,2.95,32.93,31.65,32.29,0,2025-08-08T15:57:58.430089
ASIANPAINT,2475.6,2480.0,2025-08-28,38.5,43.0,16.03,19.83,17.93,0,2025-08-08T15:57:58.431623
ASTRAL,1375.8,1380.0,2025-08-28,34.25,49.0,26.91,39.02,32.97,0,2025-08-08T15:57:58.433158
ATGL,584.6,580.0,2025-08-28,22.65,17.6,35.93,38.85,37.39,0,2025-08-08T15:57:58.434725
AUBANK,739.0,740.0,2025-08-28,21.0,23.75,29.83,36.18,33.0,0,2025-08-08T15:57:58.436080
AUROPHARMA,1042.1,1040.0,2025-08-28,33.0,29.05,31.53,33.34,32.44,0,2025-08-08T15:57:58.437407
